Sample_ID,Parent_ID,your_site_4digit,replicate
RC2_0126_ICR-2,RC2_0126,NA,2
RC2_0127_ICR-1,RC2_0127,NA,1
RC2_0127_ICR-2,RC2_0127,NA,2
RC2_0127_ICR-3,RC2_0127,NA,3
RC2_0128_ICR-1,RC2_0128,NA,1
RC2_0128_ICR-2,RC2_0128,NA,2
RC2_0128_ICR-3,RC2_0128,NA,3
RC2_0129_ICR-1,RC2_0129,NA,1
RC2_0129_ICR-2,RC2_0129,NA,2
RC2_0129_ICR-3,RC2_0129,NA,3
RC2_0130_ICR-1,RC2_0130,NA,1
RC2_0130_ICR-2,RC2_0130,NA,2
RC2_0130_ICR-3,RC2_0130,NA,3
RC2_0131_ICR-1,RC2_0131,NA,1
RC2_0131_ICR-2,RC2_0131,NA,2
RC2_0131_ICR-3,RC2_0131,NA,3
RC2_0132_ICR-1,RC2_0132,NA,1
RC2_0132_ICR-2,RC2_0132,NA,2
RC2_0132_ICR-3,RC2_0132,NA,3
RC2_0133_ICR-1,RC2_0133,NA,1
RC2_0133_ICR-2,RC2_0133,NA,2
RC2_0133_ICR-3,RC2_0133,NA,3
RC2_0134_ICR-1,RC2_0134,NA,1
RC2_0134_ICR-2,RC2_0134,NA,2
RC2_0134_ICR-3,RC2_0134,NA,3
RC2_0135_ICR-1,RC2_0135,NA,1
RC2_0135_ICR-2,RC2_0135,NA,2
RC2_0135_ICR-3,RC2_0135,NA,3
RC2_0136_ICR-1,RC2_0136,NA,1
RC2_0136_ICR-2,RC2_0136,NA,2
RC2_0136_ICR-3,RC2_0136,NA,3
RC2_0137_ICR-1,RC2_0137,NA,1
RC2_0137_ICR-2,RC2_0137,NA,2
RC2_0137_ICR-3,RC2_0137,NA,3
RC2_0138_ICR-1,RC2_0138,NA,1
RC2_0138_ICR-2,RC2_0138,NA,2
RC2_0138_ICR-3,RC2_0138,NA,3
RC2_0139_ICR-1,RC2_0139,NA,1
RC2_0139_ICR-2,RC2_0139,NA,2
RC2_0139_ICR-3,RC2_0139,NA,3
RC2_0140_ICR-1,RC2_0140,NA,1
RC2_0140_ICR-2,RC2_0140,NA,2
RC2_0140_ICR-3,RC2_0140,NA,3
RC2_0141_ICR-1,RC2_0141,NA,1
RC2_0141_ICR-2,RC2_0141,NA,2
RC2_0141_ICR-3,RC2_0141,NA,3
RC2_0142_ICR-1,RC2_0142,NA,1
RC2_0142_ICR-2,RC2_0142,NA,2
RC2_0142_ICR-3,RC2_0142,NA,3
RC2_0143_ICR-1,RC2_0143,NA,1
RC2_0143_ICR-2,RC2_0143,NA,2
RC2_0143_ICR-3,RC2_0143,NA,3
RC2_0144_ICR-1,RC2_0144,NA,1
RC2_0144_ICR-2,RC2_0144,NA,2
RC2_0144_ICR-3,RC2_0144,NA,3
RC2_0145_ICR-1,RC2_0145,NA,1
RC2_0145_ICR-2,RC2_0145,NA,2
RC2_0145_ICR-3,RC2_0145,NA,3
RC2_0146_ICR-1,RC2_0146,NA,1
RC2_0146_ICR-2,RC2_0146,NA,2
RC2_0146_ICR-3,RC2_0146,NA,3
RC2_0147_ICR-1,RC2_0147,NA,1
RC2_0147_ICR-2,RC2_0147,NA,2
RC2_0147_ICR-3,RC2_0147,NA,3
RC2_0148_ICR-1,RC2_0148,NA,1
RC2_0148_ICR-2,RC2_0148,NA,2
RC2_0148_ICR-3,RC2_0148,NA,3
RC2_0149_ICR-1,RC2_0149,NA,1
RC2_0149_ICR-2,RC2_0149,NA,2
RC2_0149_ICR-3,RC2_0149,NA,3
RC2_0150_ICR-1,RC2_0150,NA,1
RC2_0150_ICR-2,RC2_0150,NA,2
RC2_0150_ICR-3,RC2_0150,NA,3
RC2_0151_ICR-1,RC2_0151,NA,1
RC2_0151_ICR-2,RC2_0151,NA,2
RC2_0151_ICR-3,RC2_0151,NA,3
RC2_0152_ICR-1,RC2_0152,NA,1
RC2_0152_ICR-2,RC2_0152,NA,2
RC2_0152_ICR-3,RC2_0152,NA,3
RC2_0153_ICR-2,RC2_0153,NA,2
RC2_0153_ICR-3,RC2_0153,NA,3
RC2_0154_ICR-1,RC2_0154,NA,1
RC2_0154_ICR-2,RC2_0154,NA,2
RC2_0154_ICR-3,RC2_0154,NA,3
RC2_0155_ICR-1,RC2_0155,NA,1
RC2_0155_ICR-2,RC2_0155,NA,2
RC2_0155_ICR-3,RC2_0155,NA,3
RC2_0156_ICR-1,RC2_0156,NA,1
RC2_0156_ICR-2,RC2_0156,NA,2
RC2_0156_ICR-3,RC2_0156,NA,3
RC2_0157_ICR-1,RC2_0157,NA,1
RC2_0157_ICR-2,RC2_0157,NA,2
RC2_0157_ICR-3,RC2_0157,NA,3
RC2_0158_ICR-1,RC2_0158,NA,1
RC2_0158_ICR-2,RC2_0158,NA,2
RC2_0158_ICR-3,RC2_0158,NA,3
RC2_0159_ICR-1,RC2_0159,NA,1
RC2_0159_ICR-2,RC2_0159,NA,2
RC2_0159_ICR-3,RC2_0159,NA,3
RC2_0160_ICR-1,RC2_0160,NA,1
RC2_0160_ICR-2,RC2_0160,NA,2
RC2_0160_ICR-3,RC2_0160,NA,3
RC2_0163_ICR-1,RC2_0163,NA,1
RC2_0163_ICR-2,RC2_0163,NA,2
RC2_0163_ICR-3,RC2_0163,NA,3
RC2_0164_ICR-1,RC2_0164,NA,1
RC2_0164_ICR-2,RC2_0164,NA,2
RC2_0164_ICR-3,RC2_0164,NA,3
RC2_0165_ICR-1,RC2_0165,NA,1
RC2_0165_ICR-2,RC2_0165,NA,2
RC2_0165_ICR-3,RC2_0165,NA,3
RC2_0166_ICR-1,RC2_0166,NA,1
RC2_0166_ICR-2,RC2_0166,NA,2
RC2_0166_ICR-3,RC2_0166,NA,3
RC2_0167_ICR-1,RC2_0167,NA,1
RC2_0167_ICR-2,RC2_0167,NA,2
RC2_0167_ICR-3,RC2_0167,NA,3
RC2_0177_ICR-1,RC2_0177,NA,1
RC2_0177_ICR-2,RC2_0177,NA,2
RC2_0177_ICR-3,RC2_0177,NA,3
RC2_0178_ICR-1,RC2_0178,NA,1
RC2_0178_ICR-2,RC2_0178,NA,2
RC2_0178_ICR-3,RC2_0178,NA,3
RC2_0179_ICR-1,RC2_0179,NA,1
RC2_0179_ICR-3,RC2_0179,NA,3
RC2_0183_ICR-2,RC2_0183,NA,2
RC2_0183_ICR-3,RC2_0183,NA,3
RC2_0184_ICR-1,RC2_0184,NA,1
RC2_0184_ICR-2,RC2_0184,NA,2
RC2_0184_ICR-3,RC2_0184,NA,3
