SampleID,num_peak,n_transformations,normalized_transformations
RC2_0060_ICR-3,4880,29118,5.966803278688524
RC2_0061_ICR-1,4056,32137,7.923323471400394
RC2_0061_ICR-2,3853,29367,7.621853101479367
RC2_0061_ICR-3,3951,32524,8.231840040496078
RC2_0062_ICR-1,4075,28616,7.022331288343558
RC2_0062_ICR-2,4650,25617,5.509032258064516
RC2_0062_ICR-3,4262,27723,6.50469263256687
RC2_0063_ICR-1,4303,29558,6.869161050429932
RC2_0063_ICR-2,4606,28246,6.132435953104646
RC2_0063_ICR-3,4356,26941,6.184802571166207
RC2_0064_ICR-1,4467,28888,6.466980076113723
RC2_0064_ICR-2,4238,31126,7.3445021236432275
RC2_0064_ICR-3,4565,30430,6.665936473165389
RC2_0065_ICR-1,4572,32286,7.061679790026247
RC2_0065_ICR-2,4686,29771,6.3531796841656
RC2_0065_ICR-3,4486,29638,6.606776638430674
RC2_0066_ICR-1,4664,30394,6.516723842195541
RC2_0066_ICR-2,4663,30430,6.52584173279005
RC2_0066_ICR-3,4415,29232,6.621064552661382
RC2_0067_ICR-1,3923,27503,7.010706092276319
RC2_0067_ICR-2,2874,24020,8.357689631176061
RC2_0067_ICR-3,2813,23829,8.471027372911482
RC2_0068_ICR-1,4213,26236,6.227391407548065
RC2_0068_ICR-2,4088,27893,6.823140900195694
RC2_0068_ICR-3,4388,27948,6.36918869644485
RC2_0069_ICR-1,4711,28081,5.960730205901083
RC2_0069_ICR-2,4110,30530,7.428223844282239
RC2_0069_ICR-3,4662,28042,6.015015015015015
RC2_0070_ICR-1,4658,29029,6.232073851438385
RC2_0070_ICR-2,2782,24088,8.658519051042415
RC2_0070_ICR-3,4648,28046,6.033993115318417
RC2_0071_ICR-1,4820,30690,6.367219917012448
RC2_0071_ICR-2,4607,28335,6.150423268938572
RC2_0071_ICR-3,4297,26492,6.165231556900163
RC2_0072_ICR-1,4493,31904,7.100823503227242
RC2_0072_ICR-2,3731,31214,8.366121683194853
RC2_0072_ICR-3,4751,28754,6.052199536939591
RC2_0073_ICR-1,4426,29904,6.756439222774514
RC2_0073_ICR-2,4777,29453,6.165585095248064
RC2_0073_ICR-3,4345,29292,6.741542002301496
RC2_0074_ICR-1,4737,33253,7.019843782985012
RC2_0074_ICR-2,4356,27269,6.26010101010101
RC2_0074_ICR-3,4243,31090,7.327362715060099
RC2_0075_ICR-1,4315,27898,6.4653534183082275
RC2_0075_ICR-2,4594,30119,6.55616020896822
RC2_0075_ICR-3,4097,27966,6.8259702221137415
RC2_0076_ICR-1,4502,28949,6.4302532207907594
RC2_0076_ICR-2,4601,30277,6.580525972614649
RC2_0076_ICR-3,4420,29115,6.58710407239819
RC2_0077_ICR-1,4359,25959,5.955264969029594
RC2_0077_ICR-2,4746,28279,5.958491361146228
RC2_0077_ICR-3,4322,28190,6.522443313280888
RC2_0078_ICR-1,3866,29758,7.697361614071392
RC2_0078_ICR-2,3662,28370,7.747132714363736
RC2_0078_ICR-3,3306,26099,7.894434361766486
RC2_0079_ICR-1,3676,26951,7.331610446137105
RC2_0079_ICR-2,3690,25223,6.83550135501355
RC2_0079_ICR-3,3564,25344,7.111111111111111
RC2_0080_ICR-1,4315,26501,6.141599073001159
RC2_0080_ICR-2,3552,25444,7.163288288288288
RC2_0080_ICR-3,4337,28016,6.4597648143878255
RC2_0081_ICR-1,4416,31092,7.040760869565218
RC2_0081_ICR-2,3839,32180,8.382391247720761
RC2_0081_ICR-3,4536,30192,6.656084656084656
RC2_0082_ICR-1,4884,30664,6.278460278460279
RC2_0082_ICR-2,4701,29143,6.199319293767283
RC2_0082_ICR-3,4624,28846,6.2383217993079585
RC2_0083_ICR-1,4817,33297,6.912393605978825
RC2_0083_ICR-2,4516,33096,7.3286093888396815
RC2_0083_ICR-3,4369,30177,6.907072556649119
RC2_0084_ICR-1,4304,31433,7.3032063197026025
RC2_0084_ICR-2,5031,30854,6.132776783939574
RC2_0084_ICR-3,4831,29779,6.164148209480439
RC2_0085_ICR-1,3586,26467,7.380646960401561
RC2_0085_ICR-2,3552,23862,6.717905405405405
RC2_0085_ICR-3,3761,28787,7.6540813613400696
RC2_0086_ICR-1,4186,26027,6.217630195891066
RC2_0086_ICR-2,4577,28863,6.306095695870658
RC2_0086_ICR-3,4129,27493,6.658512957132477
RC2_0087_ICR-1,4612,26623,5.772549869904597
RC2_0087_ICR-2,4347,32370,7.446514837819185
