"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","HtoC_ratio","OtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","17O","18O","33S","34S","15N"
3948,491.048,491.046507185778,491.046728657589,7315652.5,NA,205086.6,34.21,-1,-0.451019827716473,0.48188139194638,0.813795485951173,0.614647029548297,14,0.761904761904762,0.666666666666667,"O14","de-protonated",0,NA,"C21 H16 O14",21,16,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
3949,491.06107,491.059577124846,491.059482875429,3981513.3,NA,189899.8,17.7,-1,0.191930754341626,0.496669094225065,0.759892473118277,0.60195844578235,22,0.551724137931034,0.206896551724138,"S1 O6","de-protonated",0,NA,"C29 H16 O6 S1",29,16,6,NA,NA,1,NA,NA,NA,NA,NA,NA
3950,491.078884,491.077391041798,491.077240940159,2676943.8,NA,164505.5,11.24,-1,0.305657902911326,0.983190717673302,0,0.589914430603981,22,0.551724137931034,0.275862068965517,"O8","de-protonated",0,NA,"C29 H16 O8",29,16,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
3951,491.08445,491.08295701585,491.083114166973,15358162,NA,199791.8,74.04,-1,-0.320009217786597,0.989031741414034,0.987147942955308,0.988278222030544,13,0.909090909090909,0.590909090909091,"O13","de-protonated",0,NA,"C22 H20 O13",22,20,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
3952,491.097522,491.096028954909,491.095868384814,11880662,NA,209342.7,56.81,-1,0.326962830908616,0.490394604517386,0.753652554121787,0.595697784359147,21,0.666666666666667,0.166666666666667,"S1 O5","de-protonated",0,NA,"C30 H20 O5 S1",30,20,5,NA,NA,1,NA,NA,NA,NA,NA,NA
3953,491.105549,491.104055917487,491.104243535072,2053337.4,NA,259599,8.15,-1,-0.382032099200341,0.97386540955365,0,0.58431924573219,8,1.26315789473684,0.789473684210526,"O15","de-protonated",0,NA,"C19 H24 O15",19,24,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
3954,491.115234,491.113740872336,491.113626449543,6922461,NA,179724.9,32.26,-1,0.232986395284321,0.495099415108016,0.753652554121787,0.598520670713525,21,0.666666666666667,0.233333333333333,"O7","de-protonated",0,NA,"C30 H20 O7",30,20,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
3955,491.120889,491.119395845973,491.119499676357,20404446,NA,205531.4,99.02,-1,-0.211415723438489,0.98842853420404,0.997727223046786,0.992148009741139,12,1.04347826086957,0.521739130434783,"O12","de-protonated",0,NA,"C23 H24 O12",23,24,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
3956,491.13393,491.132436785177,491.132253894198,30595300,NA,205308.5,149.49,-1,0.372386414072114,0.484125370372817,0.877825772113499,0.64160553106909,20,0.774193548387097,0.129032258064516,"S1 O4","de-protonated",0,NA,"C31 H24 O4 S1",31,24,4,NA,NA,1,NA,NA,NA,NA,NA,NA
3957,491.151553,491.150059703019,491.150011958927,6854890,NA,166754.7,31.93,-1,0.097208776914295,0.499143430668045,0.747514279669976,0.598491770268817,20,0.774193548387097,0.193548387096774,"O6","de-protonated",0,NA,"C31 H24 O6",31,24,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
3958,491.157226,491.155732676572,491.155885185742,23337196,NA,207284.9,113.55,-1,-0.310510724529261,0.986397833073257,0.980593949669354,0.984076279711695,11,1.16666666666667,0.458333333333333,"O11","de-protonated",0,NA,"C24 H28 O11",24,28,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
3959,491.170241,491.168747615897,491.168639403582,12724465,NA,208235,60.99,-1,0.22031600936357,0.988766218321013,0.981963535334211,0.986045145126292,19,0.875,0.09375,"S1 O3","de-protonated",0,NA,"C32 H28 O3 S1",32,28,3,NA,NA,1,NA,NA,NA,NA,NA,NA
3960,491.18773,491.186236534364,491.186397468311,3633911,NA,197451.5,15.98,-1,-0.327643331385258,0.490354968456842,0.741475186234394,0.590803055567863,19,0.875,0.15625,"O5","de-protonated",0,NA,"C32 H28 O5",32,28,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
3961,491.193536,491.192042507297,491.192270695126,14608633,NA,202744.2,70.32,-1,-0.464559079944934,0.480798721932977,0.785920818505338,0.602847560561921,10,1.28,0.4,"O10","de-protonated",0,NA,"C25 H32 O10",25,32,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
