Analysis_Precision,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,N/A
N/A,RC2_0074_Water,10.58052/IEPRS00DW,Liquid>aqueous,22.71,-9999,-9999,-9999,-9999,-9999,1.813,1.247,16.5,TRUE
N/A,RC2_0075_Water,10.58052/IEPRS00DV,Liquid>aqueous,8.177,-9999,-9999,-9999,-9999,-9999,1.207,0.187,10.7,TRUE
N/A,RC2_0076_Water,10.58052/IEPRS00DU,Liquid>aqueous,6.76,-9999,-9999,-9999,-9999,-9999,0.97,-9999,68.1,TRUE
N/A,RC2_0077_Water,10.58052/IEPRS00DT,Liquid>aqueous,8.633,-9999,-9999,-9999,-9999,-9999,0.923,-9999,1.63,TRUE
N/A,RC2_0078_Water,10.58052/IEPRS00DS,Liquid>aqueous,7.243,-9999,-9999,-9999,-9999,-9999,0.443,-9999,0.84,TRUE
N/A,RC2_0079_Water,10.58052/IEPRS00DY,Liquid>aqueous,7.497,-9999,-9999,-9999,-9999,-9999,0.46,-9999,0.94,TRUE
N/A,RC2_0080_Water,10.58052/IEPRS00DZ,Liquid>aqueous,8.91,-9999,-9999,-9999,-9999,-9999,1.093,0.115,1.55,TRUE
N/A,RC2_0081_Water,10.58052/IEPRS00E0,Liquid>aqueous,6.63,-9999,-9999,-9999,-9999,-9999,1.067,-9999,2.3,TRUE
N/A,RC2_0082_Water,10.58052/IEPRS00E1,Liquid>aqueous,8.507,-9999,-9999,-9999,-9999,-9999,1.24,0.21,5.71,TRUE
N/A,RC2_0083_Water,10.58052/IEPRS00E2,Liquid>aqueous,20.3,-9999,-9999,-9999,-9999,-9999,1.817,1.257,16.3,TRUE
N/A,RC2_0084_Water,10.58052/IEPRS00E3,Liquid>aqueous,24.067,-9999,-9999,-9999,-9999,-9999,1.85,0.96,1.97,FALSE
N/A,RC2_0085_Water,10.58052/IEPRS00E4,Liquid>aqueous,8.453,-9999,-9999,-9999,-9999,-9999,0.727,0.1,14.3,TRUE
N/A,RC2_0086_Water,10.58052/IEPRS00E5,Liquid>aqueous,9.253,-9999,-9999,-9999,-9999,-9999,1.107,0.11,1.6,TRUE
N/A,RC2_0087_Water,10.58052/IEPRS00E6,Liquid>aqueous,6.543,-9999,-9999,-9999,-9999,-9999,1.193,-9999,7.04,TRUE
N/A,RC2_0088_Water,10.58052/IEPRS00E7,Liquid>aqueous,9.1,-9999,-9999,-9999,-9999,-9999,1.483,0.253,159,TRUE
N/A,RC2_0089_Water,10.58052/IEPRS00E8,Liquid>aqueous,23.223,-9999,-9999,-9999,-9999,-9999,2.007,1.467,-9999,TRUE
N/A,RC2_0090_Water,10.58052/IEPRS00E9,Liquid>aqueous,24.697,-9999,-9999,-9999,-9999,-9999,1.98,1.02,-9999,TRUE
N/A,RC2_0091_Water,10.58052/IEPRS00EF,Liquid>aqueous,8.05,-9999,-9999,-9999,-9999,-9999,0.393,-9999,2.1,TRUE
N/A,RC2_0092_Water,10.58052/IEPRS00EE,Liquid>aqueous,9.297,-9999,-9999,-9999,-9999,-9999,0.837,-9999,-9999,TRUE
N/A,RC2_0093_Water,10.58052/IEPRS00ED,Liquid>aqueous,6.377,-9999,-9999,-9999,-9999,-9999,1.06,0.13,4.19,TRUE
N/A,RC2_0094_Water,10.58052/IEPRS00EC,Liquid>aqueous,9.513,-9999,-9999,-9999,-9999,-9999,1.247,0.24,5.17,TRUE
N/A,RC2_0095_Water,10.58052/IEPRS00EB,Liquid>aqueous,23.873,-9999,-9999,-9999,-9999,-9999,1.81,1.683,3.78,TRUE
N/A,RC2_0096_Water,10.58052/IEPRS00EA,Liquid>aqueous,26.607,-9999,-9999,-9999,-9999,-9999,1.813,1.293,5.48,TRUE
N/A,RC2_0097_Water,10.58052/IEPRS00EG,Liquid>aqueous,26.703,-9999,-9999,-9999,-9999,-9999,1.79,1.247,15.3,TRUE
N/A,RC2_0098_Water,10.58052/IEPRS00EH,Liquid>aqueous,22.21,-9999,-9999,-9999,-9999,-9999,1.76,1.387,5.19,TRUE
N/A,RC2_0099_Water,10.58052/IEPRS00EI,Liquid>aqueous,10.683,-9999,-9999,-9999,-9999,-9999,1.417,0.277,7.46,TRUE
N/A,RC2_0100_Water,10.58052/IEPRS00EJ,Liquid>aqueous,6.493,-9999,-9999,-9999,-9999,-9999,1.003,0.117,13.6,TRUE
N/A,RC2_0101_Water,10.58052/IEPRS00EO,Liquid>aqueous,24.515,-9999,-9999,-9999,-9999,-9999,0.437,-9999,0.6,TRUE
N/A,RC2_0103_Water,10.58052/IEPRS00EN,Liquid>aqueous,29.385,-9999,-9999,-9999,-9999,-9999,1,0.125,15.3,TRUE
N/A,RC2_0104_Water,10.58052/IEPRS00EM,Liquid>aqueous,8.203,-9999,-9999,-9999,-9999,-9999,1.38,0.297,6.08,TRUE
N/A,RC2_0105_Water,10.58052/IEPRS00EL,Liquid>aqueous,7.54,-9999,-9999,-9999,-9999,-9999,1.737,1.337,12,TRUE
N/A,RC2_0106_Water,10.58052/IEPRS00EK,Liquid>aqueous,10.36,-9999,-9999,-9999,-9999,-9999,1.933,1.353,11.2,TRUE
N/A,RC2_0107_Water,10.58052/IEPRS00SZ,Liquid>aqueous,10.18,0.943,-9999,-9999,-9999,2.357,0.453,-9999,0.68,TRUE
N/A,RC2_0108_Water,10.58052/IEPRS00T1,Liquid>aqueous,21.497,1.503,-9999,-9999,-9999,1.783,0.837,-9999,0.92,TRUE
N/A,RC2_0109_Water,10.58052/IEPRS00T3,Liquid>aqueous,7.395,2.355,-9999,-9999,-9999,3.443,0.99,-9999,6.66,TRUE
N/A,RC2_0110_Water,10.58052/IEPRS00T5,Liquid>aqueous,9.71,4.24,1.05,0.04,-9999,4.585,1.497,0.383,5.65,TRUE
N/A,RC2_0111_Water,10.58052/IEPRS00T7,Liquid>aqueous,11.665,7.06,5.043,-9999,-9999,10.93,1.63,1.36,13.1,TRUE
N/A,RC2_0112_Water,10.58052/IEPRS00T9,Liquid>aqueous,9.13,8.113,5.243,-9999,-9999,13.5,1.657,1.323,8.6,TRUE
