#Samples have International Generic Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration). This file maps between sample names and IGSNs. It conforms to the ESS-DIVE Sample ID and Metadata Reporting Format (IGSN-ESS) v1.1.0 (Damerow et al. 2020). Some information may be repeated between the field metadata file and this file. Parent_IGSN is the IGSN for each site ID. The original site ID is listed in the Locality column.,,,,,,,,,,,,,,,,,,,
Sample_Name,IGSN,Parent_IGSN,Material,Field_Name_Informal_Classification,Collection_Method,Collection_Method_Description,Comment,Latitude,Longitude,Primary_Physiographic_Feature,Locality,Country,Field_Program_Cruise,Collector_Chief_Scientist,Collection_Date,Related_URL,Related_URL_Type,Physiographic_Feature_Name,State_or_Province
RC2_0092,10.58052/IEPRS00EE,10.58052/IEPRS0093,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.989,-121.099,stream,T05P,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Sophia_McKever, 2021-08-18,https://www.pnnl.gov/projects/river-corridor,regular URL,Little Naches River,Washington
RC2_0093,10.58052/IEPRS00ED,10.58052/IEPRS0096,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.729,-120.714,stream,T42,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Sophia_McKever, 2021-08-18,https://www.pnnl.gov/projects/river-corridor,regular URL,Naches River,Washington
RC2_0094,10.58052/IEPRS00EC,10.58052/IEPRS0090,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.5308,-120.47,stream,T03,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Sophia_McKever, 2021-08-18,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0095,10.58052/IEPRS00EB,10.58052/IEPRS008Z,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.2321,-120,stream,T02,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Sophia_McKever, 2021-08-18,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0096,10.58052/IEPRS00EA,10.58052/IEPRS0092,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.2553,-119.474,stream,T07,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Sophia_McKever, 2021-08-18,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0097,10.58052/IEPRS00EG,10.58052/IEPRS0092,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.2553,-119.474,stream,T07,United States,US Department of Energy River Corridor Science Focus Area,Lupita_Renteria; Sophia_McKever, 2021-09-07,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0098,10.58052/IEPRS00EH,10.58052/IEPRS008Z,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.2321,-120,stream,T02,United States,US Department of Energy River Corridor Science Focus Area,Lupita_Renteria; Sophia_McKever, 2021-09-07,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0099,10.58052/IEPRS00EI,10.58052/IEPRS0090,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.5308,-120.47,stream,T03,United States,US Department of Energy River Corridor Science Focus Area,Lupita_Renteria; Sophia_McKever, 2021-09-08,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0100,10.58052/IEPRS00EJ,10.58052/IEPRS0096,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.729,-120.714,stream,T42,United States,US Department of Energy River Corridor Science Focus Area,Lupita_Renteria; Sophia_McKever, 2021-09-08,https://www.pnnl.gov/projects/river-corridor,regular URL,Naches River,Washington
RC2_0101,10.58052/IEPRS00EO,10.58052/IEPRS0094,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.9778,-121.17,stream,T06,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Sophia_McKever, 2021-09-16,https://www.pnnl.gov/projects/river-corridor,regular URL,American River,Washington
RC2_0103,10.58052/IEPRS00EN,10.58052/IEPRS0096,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.729,-120.714,stream,T42,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Sophia_McKever, 2021-09-16,https://www.pnnl.gov/projects/river-corridor,regular URL,Naches River,Washington
RC2_0104,10.58052/IEPRS00EM,10.58052/IEPRS0090,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.5308,-120.47,stream,T03,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Sophia_McKever, 2021-09-16,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0105,10.58052/IEPRS00EL,10.58052/IEPRS008Z,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.2321,-120,stream,T02,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Sophia_McKever, 2021-09-16,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0106,10.58052/IEPRS00EK,10.58052/IEPRS0092,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.2553,-119.474,stream,T07,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Sophia_McKever, 2021-09-16,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0107,10.58052/IEPRS00SZ,10.58052/IEPRS0094,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study ,46.97777,-121.16953,stream,T06,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-09-23,https://www.pnnl.gov/projects/river-corridor,regular URL,American River,Washington
RC2_0108,10.58052/IEPRS00T1,10.58052/IEPRS0093,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study ,46.98904,-121.09921,stream,T05P,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-09-23,https://www.pnnl.gov/projects/river-corridor,regular URL,Little Naches River,Washington
RC2_0109,10.58052/IEPRS00T3,10.58052/IEPRS0096,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study ,46.72895,-120.71431,stream,T42,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-09-23,https://www.pnnl.gov/projects/river-corridor,regular URL,Naches River,Washington
RC2_0110,10.58052/IEPRS00T5,10.58052/IEPRS0090,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study ,46.530817,-120.470337,stream,T03,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-09-23,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0111,10.58052/IEPRS00T7,10.58052/IEPRS008Z,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study ,46.232095,-119.999901,stream,T02,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-09-23,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0112,10.58052/IEPRS00T9,10.58052/IEPRS0092,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study ,46.255319,-119.47405,stream,T07,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-09-23,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0113,10.58052/IEPRS00EU,10.58052/IEPRS0094,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.9778,-121.17,stream,T06,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-09-30,https://www.pnnl.gov/projects/river-corridor,regular URL,American River,Washington
RC2_0114,10.58052/IEPRS00ET,10.58052/IEPRS0093,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.989,-121.099,stream,T05P,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-09-30,https://www.pnnl.gov/projects/river-corridor,regular URL,Little Naches River,Washington
RC2_0115,10.58052/IEPRS00ES,10.58052/IEPRS0096,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.729,-120.714,stream,T42,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-09-30,https://www.pnnl.gov/projects/river-corridor,regular URL,Naches River,Washington
RC2_0116,10.58052/IEPRS00ER,10.58052/IEPRS0090,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.5308,-120.47,stream,T03,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-09-30,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0117,10.58052/IEPRS00EQ,10.58052/IEPRS008Z,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.2321,-120,stream,T02,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-09-30,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0118,10.58052/IEPRS00EP,10.58052/IEPRS0092,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.2553,-119.474,stream,T07,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-09-30,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0119,10.58052/IEPRS00FB,10.58052/IEPRS0094,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.9778,-121.17,stream,T06,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Sophia_McKever, 2021-10-07,https://www.pnnl.gov/projects/river-corridor,regular URL,American River,Washington
RC2_0120,10.58052/IEPRS00FA,10.58052/IEPRS0093,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.989,-121.099,stream,T05P,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Sophia_McKever, 2021-10-07,https://www.pnnl.gov/projects/river-corridor,regular URL,Little Naches River,Washington
RC2_0121,10.58052/IEPRS00F9,10.58052/IEPRS0096,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.729,-120.714,stream,T42,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Sophia_McKever, 2021-10-07,https://www.pnnl.gov/projects/river-corridor,regular URL,Naches River,Washington
RC2_0122,10.58052/IEPRS00F8,10.58052/IEPRS0090,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.5308,-120.47,stream,T03,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Sophia_McKever, 2021-10-07,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0123,10.58052/IEPRS00FC,10.58052/IEPRS008Z,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.2321,-120,stream,T02,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Sophia_McKever, 2021-10-07,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0124,10.58052/IEPRS00F7,10.58052/IEPRS0092,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.2553,-119.474,stream,T07,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Sophia_McKever, 2021-10-07,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0125,10.58052/IEPRS00F0,10.58052/IEPRS0094,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.9778,-121.17,stream,T06,United States,US Department of Energy River Corridor Science Focus Area,Lupita_Renteria; Sophia_McKever, 2021-10-13,https://www.pnnl.gov/projects/river-corridor,regular URL,American River,Washington
RC2_0126,10.58052/IEPRS00EZ,10.58052/IEPRS0093,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.989,-121.099,stream,T05P,United States,US Department of Energy River Corridor Science Focus Area,Lupita_Renteria; Sophia_McKever, 2021-10-13,https://www.pnnl.gov/projects/river-corridor,regular URL,Little Naches River,Washington
RC2_0127,10.58052/IEPRS00EY,10.58052/IEPRS0096,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.729,-120.714,stream,T42,United States,US Department of Energy River Corridor Science Focus Area,Lupita_Renteria; Sophia_McKever, 2021-10-13,https://www.pnnl.gov/projects/river-corridor,regular URL,Naches River,Washington
RC2_0128,10.58052/IEPRS00EX,10.58052/IEPRS0090,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.5308,-120.47,stream,T03,United States,US Department of Energy River Corridor Science Focus Area,Lupita_Renteria; Sophia_McKever, 2021-10-13,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0129,10.58052/IEPRS00EW,10.58052/IEPRS008Z,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.2321,-120,stream,T02,United States,US Department of Energy River Corridor Science Focus Area,Lupita_Renteria; Sophia_McKever, 2021-10-13,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0130,10.58052/IEPRS00EV,10.58052/IEPRS0092,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.2553,-119.474,stream,T07,United States,US Department of Energy River Corridor Science Focus Area,Lupita_Renteria; Sophia_McKever, 2021-10-13,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0131,10.58052/IEPRS00F6,10.58052/IEPRS0094,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.9778,-121.17,stream,T06,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-10-21,https://www.pnnl.gov/projects/river-corridor,regular URL,American River,Washington
RC2_0132,10.58052/IEPRS00F5,10.58052/IEPRS0093,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.989,-121.099,stream,T05P,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-10-21,https://www.pnnl.gov/projects/river-corridor,regular URL,Little Naches River,Washington
RC2_0133,10.58052/IEPRS00F4,10.58052/IEPRS0096,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.729,-120.714,stream,T42,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-10-21,https://www.pnnl.gov/projects/river-corridor,regular URL,Naches River,Washington
RC2_0134,10.58052/IEPRS00F3,10.58052/IEPRS0090,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.5308,-120.47,stream,T03,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-10-21,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0135,10.58052/IEPRS00F2,10.58052/IEPRS008Z,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.2321,-120,stream,T02,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-10-21,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0136,10.58052/IEPRS00F1,10.58052/IEPRS0092,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.2553,-119.474,stream,T07,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-10-21,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0137,10.58052/IEPRS00FI,10.58052/IEPRS0094,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.9778,-121.17,stream,T06,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-10-28,https://www.pnnl.gov/projects/river-corridor,regular URL,American River,Washington
RC2_0138,10.58052/IEPRS00FH,10.58052/IEPRS0093,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.989,-121.099,stream,T05P,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-10-28,https://www.pnnl.gov/projects/river-corridor,regular URL,Little Naches River,Washington
RC2_0139,10.58052/IEPRS00FG,10.58052/IEPRS0096,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.729,-120.714,stream,T42,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-10-28,https://www.pnnl.gov/projects/river-corridor,regular URL,Naches River,Washington
RC2_0140,10.58052/IEPRS00FF,10.58052/IEPRS0090,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.5308,-120.47,stream,T03,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-10-28,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0141,10.58052/IEPRS00FE,10.58052/IEPRS008Z,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.2321,-120,stream,T02,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-10-28,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0142,10.58052/IEPRS00FD,10.58052/IEPRS0092,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.2553,-119.474,stream,T07,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-10-28,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0143,10.58052/IEPRS00FO,10.58052/IEPRS0094,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.9778,-121.17,stream,T06,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-11-04,https://www.pnnl.gov/projects/river-corridor,regular URL,American River,Washington
RC2_0144,10.58052/IEPRS00FN,10.58052/IEPRS0093,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.989,-121.099,stream,T05P,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-11-04,https://www.pnnl.gov/projects/river-corridor,regular URL,Little Naches River,Washington
RC2_0145,10.58052/IEPRS00FM,10.58052/IEPRS0096,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.729,-120.714,stream,T42,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-11-04,https://www.pnnl.gov/projects/river-corridor,regular URL,Naches River,Washington
RC2_0146,10.58052/IEPRS00FL,10.58052/IEPRS0090,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.5308,-120.47,stream,T03,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-11-04,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0147,10.58052/IEPRS00FK,10.58052/IEPRS008Z,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.2321,-120,stream,T02,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-11-04,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0148,10.58052/IEPRS00FJ,10.58052/IEPRS0092,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.2553,-119.474,stream,T07,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-11-04,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0149,10.58052/IEPRS00FS,10.58052/IEPRS0094,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.9778,-121.17,stream,T06,United States,US Department of Energy River Corridor Science Focus Area,Lupita_Renteria; Sophia_McKever, 2021-11-18,https://www.pnnl.gov/projects/river-corridor,regular URL,American River,Washington
RC2_0150,10.58052/IEPRS00FU,10.58052/IEPRS0093,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.989,-121.099,stream,T05P,United States,US Department of Energy River Corridor Science Focus Area,Lupita_Renteria; Sophia_McKever, 2021-11-18,https://www.pnnl.gov/projects/river-corridor,regular URL,Little Naches River,Washington
RC2_0151,10.58052/IEPRS00FT,10.58052/IEPRS0096,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.729,-120.714,stream,T42,United States,US Department of Energy River Corridor Science Focus Area,Lupita_Renteria; Sophia_McKever, 2021-11-18,https://www.pnnl.gov/projects/river-corridor,regular URL,Naches River,Washington
