Formula,mf,Group,Transformation
C2H1N1O2,71.000729,Other,random
C3H3O2,71.013305,Other,random
Alanine_C3H5NO,71.037114,Other,random
C4H9N1,71.073499,Other,random
C5H13O_1N1,71.109884,Other,random
H_1O_2Cl3,71.9089,Other,random
C2O3,71.984745,Other,random
C3H4O2,72.02113089,Other,random
C4H8O1,72.05751506,Other,random
C4H12N2O_1,72.105133,Other,random
C2H3N1O2,73.016379,Other,random
C3H7O1N1,73.05276133,Other,random
C2H2O3,74.00038763,Other,random
C3H6O2,74.03678,Other,random
C4H10O,74.0731841,Other,random
C8H10O_2,74.08842,Other,random
C2H5N1O2,75.032029,Other,random
C6H5N1O_1,75.047284,Other,random
C1H_2N_1O5,75.955851,Other,random
C2H1O1Cl1,75.9716,Other,random
C2H4O3,76.01604496,Other,random
C6H4,76.0313,Other,random
C5H3N1,77.026549,Other,random
C1H7N3O1,77.058912,Other,random
CH2O4,77.9953093,Other,random
C5H2O,78.01062579,Other,random
C2H6O3,78.03168735,Other,random
C5H4N1,78.034374,Other,random
C5H8N3O_2,78.081992,Other,random
H_1O3S1,78.948992,Other,random
O3P1,78.958508,Other,random
C5H5N1,79.042199,Other,random
O3S1,79.956817,Other,random
H1O3P1,79.966333,Other,random
C1H5O2P1,80.002718,Other,random
NA_5,80.0185996,Other,random
C5H4O1,80.026215,Other,random
C6H8,80.0626,Other,random
H1O3S1,80.964642,Other,random
H3N1O2S1,80.988451,Other,random
C5H7N1,81.057849,Other,random
C6H11O_1N1,81.094234,Other,random
H2O3S1,81.972467,Other,random
C4H2O2,82.00548,Other,random
C5H6O1,82.04187235,Other,random
C6H9O2P_1,82.086492,Other,random
H2N_1O4P1,82.965999,Other,random
C5H9N1,83.073499,Other,random
C3O3,83.98473983,Other,random
acetotacetate_(_H2O)_C4H4O2,84.0211371,Other,random
C4H4O4S_1,84.038888,Other,random
C5H8O1,84.057515,Other,random
C3H3N1O2,85.016379,Other,random
C4H7N1O1,85.05273808,Other,random
malonyl_group_(_H2O)_C3H2O3,86.00042078,Other,random
C4H6O2,86.03678,Other,random
C5H10O1,86.073165,Other,random
C5H12N1,86.096974,Other,random
C6H14,86.10955,Other,random
C7H1N_1O1,86.999666,Other,random
C4H9O1N1,87.068414,Other,random
C3H4O3,88.016045,Other,random
C7H4,88.0313,Other,random
C3H6N1O2,88.039854,Other,random
C4H8O2,88.05242153,Other,random
C3H3N_1O4,89.000061,Other,random
C6H3N1,89.026549,Other,random
C3H7N1O2,89.047679,Other,random
C7H7O_1N1,89.062934,Other,random
C2H2O4,89.99529435,Other,random
C3H6O3,90.031695,Other,random
C2O2H6N2,90.042928,Other,random
C7H6,90.04695,Other,random
C6H5N1,91.042199,Other,random
C2H4O4,92.01093823,Other,random
C6H4O1,92.026215,Other,random
C3H8O3,92.04736695,Other,random
C7H8,92.0626,Other,random
C5H3N1O1,93.021464,Other,random
C4H3N3,93.032697,Other,random
C6H7N1,93.057849,Other,random
C5H7N3O_1,93.069082,Other,random
C5H2O2,94.00548,Other,random
C4H2O1N2,94.016713,Other,random
C2H6O4,94.02660273,Other,random
C1H5O_1N1S1e1,94.9638,Other,random
C5H5N1O1,95.037114,Other,random
H1O4P1,95.961248,Other,random
C4O3,95.984745,Other,random
C5H4O2,96.02113,Other,random
