Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE_1,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class,delGcox0PerCmol,delGcoxPerCmol,lamO20,lamO2,delGd0,delGd
311.040890033141,13,12,9,0,0,0,0,0,CHO,Tannin,312.048166500021,-0.110610876980149,1,C13H12O9,0,0.411764705882353,8,-1,-1,47.1461538461538,310.69357899662,0.306421003380251,0.461538461538462,0.692307692307692,0.923076923076923,0,0,NA,Tannin,Tannin,Other,47.1461538461538,-134.18282753524,0.092177113305125,0.0807688097726107,612.9,-1744.37675795812
311.054143756128,0,0,0,0,0,0,0,0,,None,312.061420223008,0,1,NA,NA,NA,NA,NA,NA,NA,310.706817920381,0.293182079618759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311.054410758184,0,0,0,0,0,0,0,0,,None,312.061687225064,0,0,NA,NA,NA,NA,NA,NA,NA,310.7070846243,0.292915375699579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311.059049340609,16,13,3,2,0,0,1,0,CHONP,Lignin,312.066325807489,0.169824509291339,1,C16H13O3N2P,0.6,0.652173913043478,12,9,6,70.9875,310.711718027243,0.288281972757147,-0.375,0.1875,0.8125,0.125,0.0625,2,Other,Lignin,Phytochemical,70.9875,-143.76440803432,0.0613588158297195,0.0555256229404739,1135.8,-2300.23052854913
311.069175980099,0,0,0,0,0,0,0,0,,None,312.076452446979,0,1,NA,NA,NA,NA,NA,NA,NA,310.721833359237,0.278166640763345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311.071638451619,0,0,0,0,0,0,0,0,,None,312.078914918499,0,1,NA,NA,NA,NA,NA,NA,NA,310.724293081139,0.275706918861033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311.07721844922,14,16,8,0,0,0,0,0,CHO,Lignin,312.0844949161,0.0723339363016248,2,C14H16O8,0,0.3,7,-1,-1,60.3,310.729866848065,0.27013315193517,0,0.571428571428571,1.14285714285714,0,0,NA,Lignin,Lignin,Other,60.3,-139.469216776112,0.0826402046717468,0.0700151875352018,844.2,-1952.56903486557
311.088603746641,13,16,7,2,0,0,0,0,CHON,Lignin,312.095880213521,-0.414407332748852,1,C13H16O7N2,0,0.2,7,0,-2,51.5307692307692,310.741239432561,0.258760567438969,0.307692307692307,0.538461538461538,1.23076923076923,0.153846153846154,0,NA,Lignin,Lignin,Protein,51.5307692307692,-129.798212150625,0.0905544685341888,0.0812735243458933,669.9,-1687.37675795812
311.090385176444,0,0,0,0,0,0,0,0,,None,312.097661643324,0,0,NA,NA,NA,NA,NA,NA,NA,310.743018873204,0.256981126796404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311.092575492112,18,16,5,0,0,0,0,0,CHO,Lignin,312.099851958992,-0.250993044430448,2,C18H16O5,0.461538461538462,0.548387096774194,11,6,6,69.8,310.745206743146,0.254793256854441,-0.333333333333333,0.277777777777778,0.888888888888889,0,0,NA,Other,Lignin,Other,69.8,-143.287164561186,0.055476746539737,0.0501766642676169,1256.4,-2579.16896210135
311.095964487717,15,20,5,0,0,1,0,0,CHOS,Lignin,312.103240954597,-0.309231318712576,1,C15H20O5S,0,0.217391304347826,6,1,0,75.5,310.748591954568,0.251408045432186,-0.533333333333333,0.333333333333333,1.33333333333333,0,0,NA,Lignin,Lignin,Other,75.5,-148.241522789246,0.0613503695841329,0.0549987526022015,1132.5,-2223.62284183868
311.102239806298,11,25,2,2,0,2,1,0,CHONSP,Lipid,312.109516273178,-0.0330847898510705,1,C11H25O2N2S2P,0,0,1,-1,-6,101.754545454545,310.754860266072,0.245139733928056,-1.45454545454545,0.181818181818182,2.27272727272727,0.181818181818182,0.0909090909090909,2,Other,Lipid,Protein,101.754545454545,-163.393687721022,0.0569659417724003,0.0503358613194168,1119.3,-1797.33056493124
