Mass,RC2_0001_ICR.1_p08,RC2_0001_ICR.2_p08,RC2_0001_ICR.3_p08,RC2_0002_ICR.1_p08,RC2_0002_ICR.2_p08,RC2_0002_ICR.3_p08,RC2_0003_ICR.1_p08,RC2_0003_ICR.2_p08,RC2_0003_ICR.3_p08,RC2_0004_ICR.1_p08,RC2_0004_ICR.2_p08,RC2_0004_ICR.3_p08,RC2_0005_ICR.1_p08,RC2_0005_ICR.2_p08,RC2_0005_ICR.3_p08,RC2_0006_ICR.1_p08,RC2_0006_ICR.2_p08,RC2_0006_ICR.3_p08
265.181113546405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1263649.1,0
265.772978006071,0,0,0,0,0,0,0,0,0,0,0,0,1256266,0,0,0,0,0
265.996804035377,0,1587213,0,0,1220726.8,0,0,2132621,0,1461806,0,0,1314609,0,0,0,0,1661514
266.000554096334,1664556.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266.06142395079,0,1309226.4,0,0,0,0,0,0,0,0,1247823.5,0,0,0,0,0,0,0
266.067108572491,1399113.6,1348909,0,0,0,0,0,0,0,0,0,0,0,0,0,2046711.8,0,0
266.080198098404,0,0,0,0,0,1402760.8,0,0,0,0,0,0,0,0,0,0,0,0
266.103409224367,0,0,0,0,0,0,0,0,0,0,0,0,0,1238147.6,0,0,0,0
266.124538034951,0,0,0,0,0,0,0,0,1442214.1,0,0,0,0,0,0,0,0,0
266.778123560086,0,0,0,0,0,0,0,1714654.8,0,0,0,0,0,0,0,0,0,0
266.803213893433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1964916.9,0,0,0
266.803966805444,8092555,4601723.5,6544143.5,3327349.5,1541347.9,3705037,2326833.8,17531882,1765848.3,2123160.8,0,4399703.5,2240420.3,2044996.3,10539893,3385419.5,2119060.5,2451901
266.848580518567,0,0,1423139.9,0,0,0,0,1674749.3,1298156.5,0,0,1598827.9,0,0,0,0,1281961.3,0
266.988838917178,0,0,0,0,0,0,0,0,1576235.8,0,0,0,0,0,0,0,0,0
266.994313811722,4506590,5192658,3823461.5,2950090.5,3497786,1823522.3,0,4587580,2460206.3,3516142.3,3419894.8,2910894,1823227.9,3185051.5,3302858,1584547.4,2032621.3,4639764.5
267.014710481173,1502438.8,1499099.3,1442158.6,2055123.6,2432323.3,1782827.4,2452621.3,0,0,1715447.5,2297600,2478775.3,2120709.3,2471588.8,1738451.3,2217388.8,1967094.8,2706973.8
267.05030669231,0,0,0,1373155.6,0,0,1361820.9,0,0,1277191.5,0,0,0,1319861,0,0,0,1465390
267.051106180072,4456438.5,3986411.8,3995519,4883428,5258579.5,4772155.5,5859229,3410516.8,6083656,6575880,5676816.5,4987591.5,6684182,7301045.5,5452771.5,6337725.5,7685127.5,7909422.5
267.05348655606,0,1591788.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267.064185245111,1367548.3,0,0,1219049.8,0,1268033.6,0,1390938.3,0,0,0,0,0,0,0,0,0,0
267.06930416828,0,0,0,0,1275995.9,0,0,0,0,0,0,0,0,0,0,0,0,0
267.081956732005,0,1692665.8,0,0,0,0,0,0,0,1220309.6,0,0,1344804.3,1272259.6,0,1398475.9,0,1424956.6
267.082112645453,0,0,0,0,0,1218121.6,0,0,0,0,0,0,0,0,0,0,0,0
267.086714668741,2169862,2026491.9,1826703.1,3527668,2938211.8,2739531.8,2314156.8,0,2698327.8,2828055.8,2006816.8,2338520,2902566.5,2152389.8,1782771.3,2521294,2495512.3,1884222.9
267.087515891203,10810374,10716156,11049872,17970164,19394916,17486156,15259565,12104804,17772632,14023448,13567777,14776024,15046183,14930886,12862452,16185550,16341017,15433791
