Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,P
287,237.077251,237.0769254632404,237.0768470169655,3993051.0,nan,477218.9,30.02,-1,0.3308896498549935,0.9803295909357829,0.0,0.5881977545614697,6.0,1.1666666666666667,0.4166666666666667,O5,de-protonated,0,,C12 H14 O5,12,14,5,,,,
288,237.113569,237.11324333968415,237.11323252634983,1858794.1,nan,441535.9,12.66,-1,0.045604094710724394,0.9996227062900033,0.0,0.5997736237740019,5.0,1.3846153846153846,0.3076923076923077,O4,de-protonated,0,,C13 H18 O4,13,18,4,,,,
290,238.072527,238.07219807724442,238.0720959891585,1866874.3,nan,522156.8,12.72,-1,0.4288116400211298,0.9671857822721118,0.0,0.580311469363267,6.0,1.1818181818181819,0.45454545454545453,N1 O5,de-protonated,0,,C11 H13 O5 N1,11,13,5,,1,,
291,239.020096,239.0197638535508,239.01972606267492,1988871.6,nan,445881.9,13.71,-1,0.15810777008252863,0.9954744050958134,0.0,0.5972846430574881,7.0,0.8,0.7,O7,de-protonated,0,,C10 H8 O7,10,8,7,,,,
292,239.056469,239.05613672980743,239.05611157205922,4790551.0,nan,454657.9,36.5,-1,0.10523783745300666,0.9979924731408555,0.0,0.5987954838845133,6.0,1.0909090909090908,0.5454545454545454,O6,de-protonated,0,,C11 H12 O6,11,12,6,,,,
293,239.067731,239.06739869149337,239.0673449613515,1516059.6,nan,570673.9,9.86,-1,0.22474897975044172,0.9908765189427198,0.0,0.5945259113656318,6.0,1.2,0.5,N2 O5,de-protonated,0,,C10 H12 O5 N2,10,12,5,,2,,
294,239.092893,239.09256060589053,239.0924970814435,5048614.0,nan,452120.9,38.6,-1,0.26568983888775544,0.987273021142594,0.0,0.5923638126855564,5.0,1.3333333333333333,0.4166666666666667,O5,de-protonated,0,,C12 H16 O5,12,16,5,,,,
295,239.129264,239.12893148215394,239.12888259082783,10766645.0,nan,442667.2,85.1,-1,0.20445596360760704,0.9879879598364114,0.9932531976677317,0.9900940549689395,4.0,1.5384615384615385,0.3076923076923077,O4,de-protonated,0,,C13 H20 O4,13,20,4,,,,
297,240.051778,240.05144234369916,240.05136054425222,1900730.3,nan,478328.7,12.9,-1,0.34075810593321926,0.9791512917123756,0.0,0.5874907750274253,6.0,1.1,0.6,N1 O6,de-protonated,0,,C10 H11 O6 N1,10,11,6,,1,,
298,240.132646,240.13231006858078,240.13223742590012,1620444.4,nan,456389.9,10.64,-1,0.3025111556963036,0.9835321881664156,0.9932531976677317,0.987420591966942,4.0,1.6666666666666667,0.3333333333333333,13C1 O4,de-protonated,1,295,C12 H20 O4 13C1,12,20,4,,,1,
299,241.03578,241.03544099605804,241.03537612715292,3182682.8,nan,445235.0,23.25,-1,0.2691260767185001,0.9869438617684446,0.0,0.5921663170610667,6.0,1.0,0.7,O7,de-protonated,0,,C10 H10 O7,10,10,7,,,,
300,241.072189,241.0718498721922,241.07176163653722,6711402.0,nan,462731.7,51.76,-1,0.36601406308214113,0.9759850521326703,0.0,0.5855910312796021,5.0,1.2727272727272727,0.5454545454545454,O6,de-protonated,0,,C11 H14 O6,11,14,6,,,,
301,241.108546,241.10820674850322,241.10814714592152,4782201.5,nan,457215.7,36.18,-1,0.24720268645370286,0.9889730689766859,0.0,0.5933838413860115,4.0,1.5,0.4166666666666667,O5,de-protonated,0,,C12 H18 O5,12,18,5,,,,
304,241.14498,241.1446406245523,241.14453265530582,2095753.0,nan,420844.4,14.47,-1,0.4477366552022003,0.96427893396004,0.0,0.578567360376024,3.0,1.6923076923076923,0.3076923076923077,O4,de-protonated,0,,C13 H22 O4,13,22,4,,,,
