Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,P
350,271.155711,271.15514566560086,271.15509733935545,1541835.8,nan,391584.0,9.56,-1,0.17822362876300452,0.9942531022431195,0.0,0.5965518613458717,3.0,1.7142857142857142,0.35714285714285715,O5,de-protonated,0,,C14 H24 O5,14,24,5,,,,,
351,273.041154,273.04057764641374,273.0404615075812,2018327.0,nan,394614.1,13.27,-1,0.4253539270235843,0.9677042373224745,0.0,0.5806225423934847,10.0,0.7142857142857143,0.42857142857142855,O6,de-protonated,0,,C14 H10 O6,14,10,6,,,,,
355,273.077534,273.07695743379634,273.0768470169655,2440487.3,nan,383024.3,16.57,-1,0.40434343691343405,0.9707700061141314,0.0,0.5824620036684789,9.0,0.9333333333333333,0.3333333333333333,O5,de-protonated,0,,C15 H14 O5,15,14,5,,,,,
357,273.098679,273.09810231021754,273.0979763850649,4455728.5,nan,355036.7,32.29,-1,0.4610988126375384,0.9621564717813903,0.0,0.5772938830688341,4.0,1.5,0.5833333333333334,O7,de-protonated,0,,C12 H18 O7,12,18,7,,,,,
358,273.113767,273.113190222038,273.1132325263498,1449143.5,nan,280946.9,8.83,-1,-0.15489660251035645,0.9956559720898269,0.0,0.5973935832538961,8.0,1.125,0.25,O4,de-protonated,0,,C16 H18 O4,16,18,4,,,,,
359,273.135018,273.1344410978397,273.13436189444917,5997377.0,nan,404446.3,44.32,-1,0.28997959101922366,0.9848581220146743,0.0,0.5909148732088045,3.0,1.6923076923076923,0.46153846153846156,O6,de-protonated,0,,C13 H22 O6,13,22,6,,,,,
365,275.067216,275.0666278054,275.0664968082367,1272227.3,nan,380985.6,7.44,-1,0.47623816355820126,0.959682222054484,0.0,0.5758093332326903,8.0,1.1333333333333333,0.06666666666666667,S1 P1 O1,de-protonated,0,,C15 H17 O1 S1 P1,15,17,1,1,,,,1
368,275.093181,275.09259265365154,275.09249708144347,5748399.0,nan,361705.3,42.37,-1,0.34741844681884015,0.9783373011371272,0.0,0.5870023806822763,8.0,1.0666666666666667,0.3333333333333333,O5,de-protonated,0,,C15 H16 O5,15,16,5,,,,,
373,275.97193,275.9713365179355,275.9712166969317,1219897.5,nan,515263.6,7.03,-1,0.4341793511694561,0.966373182629529,0.0,0.5798239095777173,10.0,0.6666666666666666,0.08333333333333333,N1 S2 P1 O1,de-protonated,0,,C12 H8 O1 S2 N1 P1,12,8,1,2,1,,,1
376,277.021527,277.02092738372426,277.02098936579347,2126353.3,nan,462408.4,14.1,-1,-0.2237450286859619,0.9909574770407047,0.0,0.5945744862244228,4.0,1.4,0.5,S2 O5,de-protonated,0,,C10 H14 O5 S2,10,14,5,2,,,,
380,277.072451,277.0718510861066,277.0717616365372,6281768.0,nan,369323.7,46.52,-1,0.32283899629955526,0.9812662078066968,0.0,0.588759724684018,8.0,1.0,0.42857142857142855,O6,de-protonated,0,,C14 H14 O6,14,14,6,,,,,
383,277.10887,277.1082698732613,277.10814714592146,16117305.0,nan,372691.1,123.26,-1,0.44288607568046984,0.9699835817862356,0.9993625413820081,0.9817351656245445,7.0,1.2,0.3333333333333333,O5,de-protonated,0,,C15 H18 O5,15,18,5,,,,,
386,278.112212,278.1116060093803,278.1115019809938,2648060.0,nan,392342.5,17.96,-1,0.3740528016538574,0.9749320688520168,0.9993625413820081,0.9847042578640133,7.0,1.2857142857142858,0.35714285714285715,13C1 O5,de-protonated,1,383,C14 H18 O5 13C1,14,18,5,,,1,,
388,278.979822,278.9792109387646,278.97912455278777,1279874.5,nan,441141.4,7.4,-1,0.3096503258701903,0.9827525664005929,0.0,0.5896515398403558,9.0,0.6666666666666666,0.3333333333333333,S2 O4,de-protonated,0,,C12 H8 O4 S2,12,8,4,2,,,,
390,279.051753,279.0511415183747,279.0510261916309,5196195.0,nan,375222.4,37.61,-1,0.4132819197399265,0.9694835338865366,0.0,0.5816901203319219,8.0,0.9230769230769231,0.5384615384615384,O7,de-protonated,0,,C13 H12 O7,13,12,7,,,,,
392,279.08812,279.08750830583324,279.0874117010152,14145971.0,nan,365795.6,106.63,-1,0.3461453795626381,0.9793641398421942,0.9874010941776767,0.9825789215763872,7.0,1.1428571428571428,0.42857142857142855,O6,de-protonated,0,,C14 H16 O6,14,16,6,,,,,
394,279.124497,279.12388509323335,279.12379721039946,19005892.0,nan,367202.6,144.11,-1,0.31485253057533813,0.971871563572099,0.9916262635076607,0.9797734435463237,6.0,1.3333333333333333,0.3333333333333333,O5,de-protonated,0,,C15 H20 O5,15,20,5,,,,,
397,280.091477,280.09085944186467,280.0907665360875,1924471.3,nan,407943.8,12.37,-1,0.33169882157521496,0.9802342258537086,0.9874010941776767,0.9831009731832958,7.0,1.2307692307692308,0.46153846153846156,13C1 O6,de-protonated,1,392,C13 H16 O6 13C1,13,16,6,,,1,,
398,280.1279,280.1272822289959,280.1271520454718,3323783.5,nan,374648.5,23.16,-1,0.4647301168628229,0.9615697118388334,0.9916262635076607,0.9735923325063642,6.0,1.4285714285714286,0.35714285714285715,13C1 O5,de-protonated,1,394,C14 H20 O5 13C1,14,20,5,,,1,,
401,281.030974,281.0303509511162,281.0302907467246,4195614.5,nan,356985.2,29.88,-1,0.21422741105969986,0.9917072816995108,0.0,0.5950243690197065,8.0,0.8333333333333334,0.6666666666666666,O8,de-protonated,0,,C12 H10 O8,12,10,8,,,,,
402,281.067407,281.066783738189,281.0666762561089,9469231.0,nan,368585.8,70.55,-1,0.38240776708167407,0.9721075034514879,0.9828632829558022,0.9764098152532137,7.0,1.0769230769230769,0.5384615384615384,O7,de-protonated,0,,C13 H14 O7,13,14,7,,,,,
405,281.103824,281.1032005253553,281.1030617654932,25376064.0,nan,371730.7,193.23,-1,0.4936262922697354,0.9714765566947411,0.999623538500138,0.9827353494168998,6.0,1.2857142857142858,0.42857142857142855,O6,de-protonated,0,,C14 H18 O6,14,18,6,,,,,
409,282.070775,282.07014587415614,282.0700310911812,1556979.4,nan,358911.2,9.53,-1,0.4069307700042159,0.9704003418340871,0.9828632829558022,0.9753855182827731,7.0,1.1666666666666667,0.5833333333333334,13C1 O7,de-protonated,1,402,C12 H14 O7 13C1,12,14,7,,,1,,
410,282.107124,282.10649466171986,282.10641660056547,3858179.8,nan,386184.6,27.28,-1,0.27670818458508584,0.9862030054734858,0.999623538500138,0.9915712186841468,6.0,1.3846153846153846,0.46153846153846156,13C1 O6,de-protonated,1,405,C13 H18 O6 13C1,13,18,6,,,1,,
414,283.010241,283.0096063835888,283.0095553018183,1236379.1,nan,450061.6,7.05,-1,0.18049486152166858,0.9941061304175524,0.0,0.5964636782505314,8.0,0.7272727272727273,0.8181818181818182,O9,de-protonated,0,,C11 H8 O9,11,8,9,,,,,
415,283.046677,283.0460421706441,283.04594081120257,6060203.5,nan,344782.6,44.26,-1,0.3581024382596603,0.9770001241815184,0.0,0.586200074508911,7.0,1.0,0.6666666666666666,O8,de-protonated,0,,C12 H12 O8,12,12,8,,,,,
416,283.064837,283.0642020645107,283.06418813330237,1346739.8,nan,367762.2,7.91,-1,0.049215721830571414,0.9995605938680592,0.0,0.5997363563208354,11.0,0.8666666666666667,0.13333333333333333,N2 P1 O2,de-protonated,0,,C15 H13 O2 N2 P1,15,13,2,,2,,,1
417,283.083042,283.08240695811435,283.0823263205869,20674748.0,nan,363825.8,156.96,-1,0.2848553934629921,0.9749026944374166,0.9964121660914939,0.9835064830990474,6.0,1.2307692307692308,0.5384615384615384,O7,de-protonated,0,,C13 H16 O7,13,16,7,,,,,
421,283.264846,283.2642098955883,283.2642538675084,1340173.9,nan,484611.4,7.85,-1,-0.15523285939641285,0.9956371324222748,0.0,0.5973822794533649,1.0,2.0,0.1111111111111111,O2,de-protonated,0,,C18 H36 O2,18,36,2,,,,,
422,284.086449,284.08580809385353,284.0856811556592,3025536.5,nan,346567.7,20.85,-1,0.4468306668088137,0.964420749592003,0.9964121660914939,0.9772173161917994,6.0,1.3333333333333333,0.5833333333333334,13C1 O7,de-protonated,1,417,C12 H16 O7 13C1,12,16,7,,,1,,
425,285.062377,285.0617303901896,285.06159087568057,9083961.0,nan,358177.5,67.57,-1,0.4894188256494776,0.47873420692666735,0.8843699161556753,0.6409884906182706,6.0,1.1666666666666667,0.6666666666666666,O8,de-protonated,0,,C12 H14 O8,12,14,8,,,,,
427,285.098718,285.0980711778001,285.0979763850649,17935434.0,nan,365739.8,135.83,-1,0.3324917854031358,0.9833562275746482,0.9927406284346791,0.9871099879186607,5.0,1.3846153846153846,0.5384615384615384,O7,de-protonated,0,,C13 H18 O7,13,18,7,,,,,
429,285.126894,285.12624701312967,285.1261196859718,41421908.0,nan,357741.5,316.96,-1,0.44656434150654756,0.9688512710786497,0.9994584220095489,0.9810941314510093,4.0,1.6428571428571428,0.2857142857142857,P1 O4,de-protonated,0,,C14 H23 O4 P1,14,23,4,,,,,1
430,285.135112,285.13446496510085,285.13436189444917,8688730.0,nan,349354.0,64.52,-1,0.36148099089495894,0.9837140250866482,0.956116686430545,0.9726750896242069,4.0,1.5714285714285714,0.42857142857142855,O6,de-protonated,0,,C14 H22 O6,14,22,6,,,,,
431,286.094016,286.0933633609311,286.0932253572579,1410826.3,nan,450774.9,8.16,-1,0.482373090247206,0.9586586899230009,0.0,0.5751952139538005,5.0,1.4166666666666667,0.5833333333333334,N1 O7,de-protonated,0,,C12 H17 O7 N1,12,17,7,,1,,,
432,286.102062,286.1014093139074,286.1013312201372,2711565.8,nan,323511.8,17.92,-1,0.27295843017768323,0.9865719011343216,0.9927406284346791,0.9890393920544647,5.0,1.5,0.5833333333333334,13C1 O7,de-protonated,1,427,C12 H18 O7 13C1,12,18,7,,,1,,
433,286.130238,286.1295851492371,286.1294745210441,6348314.5,nan,362643.9,45.21,-1,0.38663683000296006,0.9732401549643105,0.9994584220095489,0.9837274617824059,4.0,1.7692307692307692,0.3076923076923077,13C1 P1 O4,de-protonated,1,429,C13 H23 O4 13C1 P1,13,23,4,,,1,,1
433,286.130238,286.1295851492371,286.12961086664217,6348314.5,nan,362643.9,45.21,-1,-0.08988026445948433,0.9985352474923438,0.0,0.5991211484954062,4.0,1.6153846153846154,0.46153846153846156,N1 O6,de-protonated,0,,C13 H21 O6 N1,13,21,6,,1,,,
434,286.138434,286.13778110133677,286.13771672952146,1858846.3,nan,355614.3,11.52,-1,0.22496794916999274,0.9908588140952909,0.956116686430545,0.9769619630293925,4.0,1.6923076923076923,0.46153846153846156,13C1 O6,de-protonated,1,430,C13 H22 O6 13C1,13,22,6,,,1,,
435,287.030872,287.0302138856175,287.0301112988524,1420976.8,nan,416070.1,8.23,-1,0.35740767640592747,0.9770882533711451,0.0,0.586252952022687,10.0,0.8666666666666667,0.13333333333333333,S1 P1 O2,de-protonated,0,,C15 H13 O2 S1 P1,15,13,2,1,,,,1
436,287.041644,287.0409858226622,287.0408554307743,2644405.8,nan,327982.0,17.41,-1,0.4542624698005028,0.9632495783173335,0.0,0.5779497469904,6.0,1.0909090909090908,0.8181818181818182,O9,de-protonated,0,,C11 H12 O9,11,12,9,,,,,
