Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,P,18O,17O
429,264.088316,264.08784689689804,264.08774605363647,2278285.8,nan,457057.8,15.23,-1,0.38185513369932805,0.9738892973427798,0.0,0.5843335784056679,7.0,1.1538461538461537,0.38461538461538464,N1 O5,de-protonated,0,,C13 H15 O5 N1,13,15,5,,1,,,,,
434,265.072327,265.0718526246153,265.0717616365372,7587163.0,nan,401295.6,56.43,-1,0.3432582842923037,0.4894237507599943,0.8759295984134849,0.6440260898213905,7.0,1.0769230769230769,0.46153846153846156,O6,de-protonated,0,,C13 H14 O6,13,14,6,,,,,,,
435,265.075705,265.0752306065162,265.0751329399072,1765212.4,nan,446197.5,11.24,-1,0.3684487787482129,0.975668427559052,0.0,0.5854010565354312,2.0,1.8,0.6,S1 O6,de-protonated,0,,C10 H18 O6 S1,10,18,6,1,,,,,,
441,265.148464,265.147989216677,265.1479039586758,63206784.0,nan,402682.1,488.17,-1,0.3215488409812193,0.9776329848129258,0.9867108192608834,0.9812641185921089,0.0,2.1666666666666665,0.3333333333333333,S1 O4,de-protonated,0,,C12 H26 O4 S1,12,26,4,1,,,,,,
443,266.067614,266.0671342919163,266.0670106087302,2339117.5,nan,437068.2,15.69,-1,0.46485727730398296,0.9615490878721861,0.0,0.5769294527233116,7.0,1.0833333333333333,0.5,N1 O6,de-protonated,0,,C12 H13 O6 N1,12,13,6,,1,,,,,
447,266.151848,266.1513678405947,266.15125879374807,7829333.0,nan,404335.0,58.31,-1,0.40971756848868796,0.9738281375655444,0.9867108192608834,0.9789812102436801,0.0,2.3636363636363638,0.36363636363636365,13C1 S1 O4,de-protonated,1,441,C11 H26 O4 S1 13C1,11,26,4,1,,1,,,,
451,266.994906,266.99442132353124,266.9943806940727,2233056.5,nan,435326.4,14.87,-1,0.15217345946266753,0.9958070510583151,0.0,0.597484230634989,12.0,0.5333333333333333,0.06666666666666667,S2 O1,de-protonated,0,,C15 H8 O1 S2,15,8,1,2,,,,,,
453,267.051632,267.0511470195961,267.0510261916309,9042171.0,nan,412171.2,67.72,-1,0.4524527275316467,0.48176821088337424,0.8843699161556753,0.6428088929922946,7.0,1.0,0.5833333333333334,O7,de-protonated,0,,C12 H12 O7,12,12,7,,,,,,,
456,267.088012,267.08752682467383,267.0874117010152,12054796.0,nan,396947.5,91.11,-1,0.4310336376843593,0.9831809820610511,0.9763155672385604,0.9804348161320547,6.0,1.2307692307692308,0.46153846153846156,O6,de-protonated,0,,C13 H16 O6,13,16,6,,,,,,,
458,267.124348,267.12386262998734,267.12379721039946,6631709.5,nan,394126.1,49.01,-1,0.24490363107643717,0.9891761134835347,0.0,0.5935056680901208,5.0,1.4285714285714286,0.35714285714285715,O5,de-protonated,0,,C14 H20 O5,14,20,5,,,,,,,
