Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,P,18O,15N
609,307.155717,307.15517365186224,307.15509733935545,2809744.3,nan,321802.3,18.43,-1,0.24844942328159342,0.9888621857913021,0.0,0.5933173114747813,6.0,1.411764705882353,0.29411764705882354,O5,de-protonated,0,,C17 H24 O5,17,24,5,,,,,,,
612,307.195454,307.1949105140052,307.19485415210977,4900253.5,nan,342148.5,33.97,-1,0.18347278496259956,0.9939106423812327,0.0,0.5963463854287396,0.0,2.1333333333333333,0.26666666666666666,S1 O4,de-protonated,0,,C15 H32 O4 S1,15,32,4,1,,,,,,
621,309.062145,309.06159503801064,309.06159087568057,2512911.0,nan,304406.8,16.22,-1,0.013467639443415157,0.9999670898665289,0.0,0.5999802539199174,8.0,1.0,0.5714285714285714,O8,de-protonated,0,,C14 H14 O8,14,14,8,,,,,,,
623,309.098613,309.09806291149454,309.0979763850649,6572059.5,nan,312261.3,46.4,-1,0.2799320482545204,0.9820148566767142,0.9417656064390679,0.9659151565816557,7.0,1.2,0.4666666666666667,O7,de-protonated,0,,C15 H18 O7,15,18,7,,,,,,,
625,309.134977,309.13442678533914,309.13436189444917,3372583.3,nan,327090.2,22.61,-1,0.20991160470077008,0.992036724204024,0.0,0.5952220345224144,6.0,1.375,0.375,O6,de-protonated,0,,C16 H22 O6,16,22,6,,,,,,,
627,309.153615,309.1530647206795,309.15298933910407,8031277.5,nan,333641.0,57.24,-1,0.24383259425990234,0.9738770390463107,0.9883743891685942,0.9796759790952241,5.0,1.5294117647058822,0.17647058823529413,S1 O3,de-protonated,0,,C17 H26 O3 S1,17,26,3,1,,,,,,
628,309.171392,309.1708416590069,309.17074740383345,5435443.5,nan,321121.8,37.95,-1,0.3048644616043183,0.9832771402216874,0.0,0.5899662841330124,5.0,1.5294117647058822,0.29411764705882354,O5,de-protonated,0,,C17 H26 O5,17,26,5,,,,,,,
629,309.174711,309.1741606474925,309.1741187072035,13317173.0,nan,320880.6,96.54,-1,0.13565265160035458,0.9892448032649283,0.9786837802753695,0.9850203940691047,0.0,2.142857142857143,0.35714285714285715,S1 O5,de-protonated,0,,C14 H30 O5 S1,14,30,5,1,,,,,,
632,310.057388,310.0568345852763,310.05683984787356,1290074.5,nan,324215.5,7.13,-1,-0.016973008105006737,0.9999477290835235,0.0,0.5999686374501141,8.0,1.0,0.6153846153846154,N1 O8,de-protonated,0,,C13 H13 O8 N1,13,13,8,,1,,,,,
634,310.101993,310.10143943053095,310.1013312201372,1629801.3,nan,331478.2,9.65,-1,0.34895172276815445,0.9781477786033452,0.9417656064390679,0.9635949097376344,7.0,1.2857142857142858,0.5,13C1 O7,de-protonated,1,623,C14 H18 O7 13C1,14,18,7,,,1,,,,
636,310.156748,310.1561942405728,310.15634417417635,1620603.5,nan,342201.9,9.59,-1,-0.48341298305992436,0.9584840080715813,0.9883743891685942,0.9704401605103864,5.0,1.625,0.1875,13C1 S1 O3,de-protonated,1,627,C16 H26 O3 S1 13C1,16,26,3,1,,1,,,,
636,310.156748,310.1561942405728,310.15610039721935,1620603.5,nan,342201.9,9.59,-1,0.3025681369288491,0.9835260351910392,0.0,0.5901156211146235,10.0,1.1666666666666667,0.1111111111111111,N3 O2,de-protonated,0,,C18 H21 O2 N3,18,21,2,,3,,,,,
637,310.178126,310.1775721664075,310.1774735422757,1663362.5,nan,430761.6,9.9,-1,0.31796032983414046,0.9818229921689653,0.9786837802753695,0.980567307411527,0.0,2.3076923076923075,0.38461538461538464,13C1 S1 O5,de-protonated,1,629,C13 H30 O5 S1 13C1,13,30,5,1,,1,,,,
640,311.077837,311.07728004509624,311.07724094015856,3705004.8,nan,328704.0,25.08,-1,0.12570812820075344,0.9971367579755251,0.0,0.598282054785315,7.0,1.1428571428571428,0.5714285714285714,O8,de-protonated,0,,C14 H16 O8,14,16,8,,,,,,,
641,311.093104,311.0925469921314,311.09249708144347,2459825.8,nan,324736.3,15.82,-1,0.16043681032824414,0.995340405987374,0.0,0.5972042435924244,11.0,0.8888888888888888,0.2777777777777778,O5,de-protonated,0,,C18 H16 O5,18,16,5,,,,,,,
642,311.096481,311.0959239804158,311.0958683848135,1883058.9,nan,360700.1,11.53,-1,0.17870890601535708,0.9942218544012312,0.0,0.5965331126407387,6.0,1.3333333333333333,0.3333333333333333,S1 O5,de-protonated,0,,C15 H20 O5 S1,15,20,5,1,,,,,,
643,311.114227,311.11366991885075,311.1136264495429,8126137.0,nan,333399.0,57.94,-1,0.13972164559511283,0.4982320000425271,0.859523230357577,0.6427484921685471,6.0,1.3333333333333333,0.4666666666666667,O7,de-protonated,0,,C15 H20 O7,15,20,7,,,,,,,
