Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,P,18O
355,242.140242,242.13986831354592,242.13978162749882,6763012.0,nan,467581.5,51.8,-1,0.35800002178569545,0.9770131257671963,0.0,0.5862078754603178,3.0,1.75,0.3333333333333333,N1 O4,de-protonated,0,,C12 H21 O4 N1,12,21,4,,1,,,
356,242.176574,242.17620019023119,242.1761671368831,8992276.0,nan,463920.5,69.68,-1,0.13648472713617205,0.9941520005717386,0.9983447416513443,0.9958290970035809,2.0,1.9230769230769231,0.23076923076923078,N1 O3,de-protonated,0,,C13 H25 O3 N1,13,25,3,,1,,,
358,243.051466,243.05108922075388,243.0510261916309,4288397.5,nan,475268.3,31.95,-1,0.2593246527584833,0.9878718533830683,0.0,0.592723112029841,5.0,1.2,0.7,O7,de-protonated,0,,C10 H12 O7,10,12,7,,,,,
359,243.087843,243.08746609728644,243.0874117010152,8654749.0,nan,463851.5,66.97,-1,0.22377247280571624,0.9909552686917841,0.0,0.5945731612150704,4.0,1.4545454545454546,0.5454545454545454,O6,de-protonated,0,,C11 H16 O6,11,16,6,,,,,
360,243.124197,243.12381997389707,243.12379721039952,3372461.0,nan,469067.2,24.6,-1,0.09362924491829679,0.9984106062204217,0.0,0.599046363732253,3.0,1.6666666666666667,0.4166666666666667,O5,de-protonated,0,,C12 H20 O5,12,20,5,,,,,
362,243.160616,243.16023885028707,243.16018271978382,2415036.8,nan,467643.7,16.92,-1,0.23083755993906047,0.9903779204162556,0.0,0.5942267522497533,2.0,1.8461538461538463,0.3076923076923077,O4,de-protonated,0,,C13 H24 O4,13,24,4,,,,,
363,243.179847,243.179469785015,243.17952197195538,1254341.1,nan,523168.6,7.61,-1,-0.21460252890871692,0.9916783360152248,0.9983447416513443,0.9943448982696727,2.0,2.0833333333333335,0.25,13C1 N1 O3,de-protonated,1,356,C12 H25 O3 N1 13C1,12,25,3,,1,1,,
370,245.045941,245.04555745129173,245.0455468880095,1898224.8,nan,423836.1,12.77,-1,0.04310742370585946,0.9996628798203347,0.0,0.5997977278922009,9.0,0.7692307692307693,0.38461538461538464,O5,de-protonated,0,,C13 H10 O5,13,10,5,,,,,
371,245.067084,245.06670037953012,245.0666762561089,3333882.0,nan,429685.0,24.29,-1,0.09843615452390997,0.9982433656165399,0.0,0.598946019369924,4.0,1.4,0.7,O7,de-protonated,0,,C10 H14 O7,10,14,7,,,,,
372,245.103468,245.10308425603893,245.1030617654932,4654858.0,nan,443816.6,34.62,-1,0.09175954618985771,0.9984734021909065,0.0,0.5990840413145438,3.0,1.6363636363636365,0.5454545454545454,O6,de-protonated,0,,C11 H18 O6,11,18,6,,,,,
374,245.139865,245.1394811325036,245.1394472748775,1394457.8,nan,515556.0,8.66,-1,0.13811578044722228,0.9965446739457424,0.0,0.5979268043674454,2.0,1.8333333333333333,0.4166666666666667,O5,de-protonated,0,,C12 H22 O5,12,22,5,,,,,
376,247.025246,247.0248557333182,247.02481144310323,2398805.0,nan,460678.0,16.65,-1,0.17929460081326953,0.994184028653708,0.0,0.5965104171922248,9.0,0.6666666666666666,0.5,O6,de-protonated,0,,C12 H8 O6,12,8,6,,,,,
377,247.061603,247.0612126099186,247.0611969524875,2799205.0,nan,478347.3,19.84,-1,0.06337470756012994,0.9992715034056654,0.0,0.5995629020433992,8.0,0.9230769230769231,0.38461538461538464,O5,de-protonated,0,,C13 H12 O5,13,12,5,,,,,
379,247.082737,247.08234653818758,247.0823263205869,1459822.4,nan,557768.8,9.18,-1,0.08182536152674778,0.9987858679738685,0.0,0.5992715207843211,3.0,1.6,0.7,O7,de-protonated,0,,C10 H16 O7,10,16,7,,,,,
