"Sample_ID","NPOC_mg_C_per_L","TN_mg_N_per_L","Flags","Outlier"
"SPS_0042_OCN-3",0.8793,0.07634,NA,NA
"SPS_0048_OCN-3",1.053,0.1266,NA,NA
"SPS_0040_OCN-3",1.07,0.08169,NA,NA
"SPS_0044_OCN-1",0.8007,0.05148,NA,NA
"SPS_0044_OCN-2",0.7408,0.04928,NA,NA
"SPS_0004_OCN-2",1.924,1.918,NA,NA
"SPS_0007_OCN-3",1.121,0.08033,NA,NA
"SPS_0028_OCN-3",1.44,0.1857,NA,NA
"SPS_0031_OCN-2",1.228,0.07649,NA,NA
"SPS_0033_OCN-3",2.096,0.6023,NA,NA
"SPS_0007_OCN-1",1.187,0.08283,NA,NA
"SPS_0047_OCN-3",1.263,0.07685,NA,NA
"SPS_0048_OCN-2",1.081,0.1253,NA,NA
"SPS_0026_OCN-2",0.5995,0.04008,NA,NA
"SPS_0021_OCN-3",0.7181,0.2883,NA,NA
"SPS_0026_OCN-1",0.61,0.05364,NA,NA
"SPS_0022_OCN-1",0.9006,0.05914,NA,NA
"SPS_0009_OCN-3",0.8589,0.06196,NA,NA
"SPS_0017_OCN-3",0.8733,0.05685,NA,NA
"SPS_0015_OCN-2",0.6781,0.03964,NA,NA
"SPS_0023_OCN-3",0.4875,0.04108,NA,NA
"SPS_0021_OCN-2",0.6136,0.0372,NA,NA
"SPS_0040_OCN-1",1.121,0.08806,NA,NA
"SPS_0003_OCN-1",1.511,0.3805,NA,NA
"SPS_0025_OCN-2",0.6458,0.0658,NA,NA
"SPS_0049_OCN-1",1.503,0.2084,NA,NA
"SPS_0029_OCN-1",1.78,0.1837,NA,NA
"SPS_0029_OCN-2",1.785,0.1563,NA,NA
"SPS_0014_OCN-3",0.6737,0.07622,NA,NA
"SPS_0017_OCN-1",1.045,0.0783,NA,NA
"SPS_0030_OCN-3",1.2,0.07908,NA,NA
"SPS_0012_OCN-3",1.158,0.09807,NA,NA
"SPS_0034_OCN-2",2.197,0.8417,NA,NA
"SPS_0050_OCN-2",3.328,0.305,NA,NA
"SPS_0035_OCN-3",1.639,0.2772,NA,NA
"SPS_0003_OCN-2",1.713,0.5134,NA,NA
"SPS_0054_OCN-2",2.089,1.645,NA,NA
"SPS_0056_OCN-1",1.419,0.109,NA,NA
"SPS_0054_OCN-3",2.109,1.597,NA,NA
"SPS_0053_OCN-1",2.122,1.484,NA,NA
"SPS_0056_OCN-3",1.322,0.1118,NA,NA
"SPS_0055_OCN-1",1.674,0.307,NA,NA
"SPS_0056_OCN-2",1.316,0.0916,NA,NA
"SPS_0053_OCN-3",2.12,1.462,NA,NA
"SPS_0053_OCN-2",2.095,1.469,NA,NA
"SPS_0055_OCN-3",1.675,0.3333,NA,NA
"SPS_0054_OCN-1",2.079,1.632,NA,NA
"SPS_0055_OCN-2",1.698,0.3029,NA,NA
"SPS_0058_OCN-1",1.672,0.1289,NA,NA
"SPS_0057_OCN-1",2.139,0.1718,NA,NA
"SPS_0057_OCN-3",2.093,0.1597,NA,NA
"SPS_0058_OCN-2",1.746,0.108,NA,NA
"SPS_0059_OCN-2",2.624,0.1974,NA,NA
"SPS_0057_OCN-2",2.19,0.1733,NA,NA
"SPS_0059_OCN-1",2.785,0.1937,NA,NA
"SPS_0059_OCN-3",2.564,0.1845,NA,NA
"SPS_0058_OCN-3",1.757,0.1127,NA,NA
"RC2_0091_OCN-3",0.3792,0.08241,NA,NA
