Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
200.887414797765,0,0,0,0,0,0,0,0,,None,201.894691264645,0,0,NA,NA,NA,NA,NA,NA,NA,200.663102115757,0.336897884243001,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.892776134752,0,0,0,0,0,0,0,0,,None,201.900052601632,0,0,NA,NA,NA,NA,NA,NA,NA,200.668457466227,0.331542533772733,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.912751002674,0,0,0,0,0,0,0,0,,None,201.920027469554,0,0,NA,NA,NA,NA,NA,NA,NA,200.688410030033,0.311589969966718,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.915441510908,0,0,0,0,0,0,0,0,,None,201.922717977788,0,0,NA,NA,NA,NA,NA,NA,NA,200.691097534022,0.308902465978235,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.916472015357,0,0,0,0,0,0,0,0,,None,201.923748482237,0,0,NA,NA,NA,NA,NA,NA,NA,200.6921268878,0.307873112199729,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.917766585675,0,0,0,0,0,0,0,0,,None,201.925043052555,0,0,NA,NA,NA,NA,NA,NA,NA,200.693420012589,0.306579987410515,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.929886354853,0,0,0,0,0,0,0,0,,None,201.937162821733,0,0,NA,NA,NA,NA,NA,NA,NA,200.705526248725,0.294473751275035,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.931314764689,0,0,0,0,0,0,0,0,,None,201.938591231569,0,0,NA,NA,NA,NA,NA,NA,NA,200.706953063586,0.293046936414214,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.934253054028,0,0,0,0,0,0,0,0,,None,201.941529520908,0,0,NA,NA,NA,NA,NA,NA,NA,200.709888072005,0.290111927995355,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.935898269952,0,0,0,0,0,0,0,0,,None,201.943174736832,0,0,NA,NA,NA,NA,NA,NA,NA,200.711531450866,0.288468549134166,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.956418397612,0,0,0,0,0,0,0,0,,None,201.963694864492,0,0,NA,NA,NA,NA,NA,NA,NA,200.732028665568,0.267971334432019,NA,NA,NA,NA,NA,NA,NA,NA,NA
